gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
NECAB2,0.0,1.0,-,0,0.0,1.0,,
TMEM100,1.0,0.0,-,-,0.01613008990009254,0.0,,
LOC727710,0.0,1.0,+,0,0.0,1.0,,
HPCAL4,1.0,0.0,+,+,0.007490433881274519,0.0,,
SAMD14,1.0,0.0,-,-,0.007490433881274519,0.0,,
RUSC2,1.0,0.0,-,-,0.007490433881274519,0.0,,
KIAA1377,0.0,1.0,+,+,0.0,0.11611652351681558,,
KIAA1324L,1.0,0.0,+,+,0.15830242337545783,0.0,,
TLL2,0.0,1.0,+,0,0.0,1.0,,
NID2,0.0,1.0,-,+,0.0,0.11611652351681558,,
CECR6,1.0,0.0,-,-,0.11611652351681558,0.0,,
TIGD5,0.0,1.0,-,-,0.0,0.01613008990009254,,
ZNF251,0.0,1.0,+,+,0.0,0.373900966300059,,
FER,0.0,1.0,+,+,0.0,0.11611652351681545,,
TIMP3,0.0,1.0,-,0,0.0,1.0,,
SRCIN1,0.0,1.0,+,0,0.0,1.0,,
KIF24,1.0,0.0,+,+,0.11611652351681558,0.0,,
NFXL1,1.0,0.0,+,+,0.11611652351681545,0.0,,
FGD1,1.0,0.0,-,-,0.373900966300059,0.0,,
C7orf51,1.0,0.0,-,-,0.11611652351681558,0.0,,
KIAA1199,0.0,1.0,-,0,0.0,1.0,,
KIAA1211,1.0,0.0,-,+,0.373900966300059,0.0,,
FGF14,1.0,0.0,+,+,0.373900966300059,0.0,,
NFE2L3,0.0,1.0,+,+,0.0,0.11611652351681558,,
CEP135,0.0,1.0,+,+,0.0,0.01613008990009254,,
EHBP1L1,0.0,1.0,-,-,0.0,0.11611652351681558,,
PAPPA,0.0,1.0,+,+,0.0,0.11611652351681558,,
ARHGAP28,1.0,0.0,+,+,0.11611652351681558,0.0,,
CLEC4A,1.0,0.0,+,+,0.11611652351681558,0.0,,
PEX26,1.0,0.0,-,-,0.007490433881274519,0.0,,
SLC18A2,1.0,0.0,+,+,0.01613008990009254,0.0,,
TRMT2B,1.0,0.0,+,+,0.373900966300059,0.0,,
SLC1A2,0.0,1.0,+,0,0.0,1.0,,
POLN,0.0,1.0,+,+,0.0,0.373900966300059,,
